street,city,zip,state,latitude,longitude
3526 HIGH ST,SACRAMENTO,95838,CA,38.631913,-121.434879
51 OMAHA CT,SACRAMENTO,95823,CA,38.478902,-121.431028
2796 BRANCH ST,SACRAMENTO,95815,CA,38.618305,-121.443839
2805 JANETTE WAY,SACRAMENTO,95815,CA,38.616835,-121.439146
6001 MCMAHON DR,SACRAMENTO,95824,CA,38.51947,-121.435768
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,38.662595,-121.327813
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,38.681659,-121.351705
2561 19TH AVE,SACRAMENTO,95820,CA,38.535092,-121.481367
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,38.621188,-121.270555
7325 10TH ST,RIO LINDA,95673,CA,38.700909,-121.442979
645 MORRISON AVE,SACRAMENTO,95838,CA,38.637663,-121.45152